# Generated by ../matriz.pl date: Tue Sep 17 10:38:03 2013
# pairs file: pairs_conservative.txt symetric matrix 39 fragments
13,9,8,13,13,15,301,9,9,8,13,33,15,9,301,9,9,13,8,9,0,9,8,33,7,13,138,9,33,11,9,13,12,13,33,9,9,13,7
11,413,13,11,20,11,9,317,288,15,11,13,11,18,9,9,12,13,11,312,9,0,13,13,199,11,9,18,13,70,443,13,141,11,13,233,305,13,84
13,13,12,13,106,12,99,13,27,13,13,12,12,19,79,19,19,252,19,13,8,13,0,12,8,12,228,8,7,10,13,12,27,13,12,27,13,12,11
48,23,366,48,104,193,33,23,23,255,13,271,262,25,33,49,210,28,322,13,33,13,12,0,13,130,8,9,100,10,13,242,22,217,420,23,13,232,27
11,168,13,11,20,20,7,72,43,30,11,13,13,9,7,9,13,8,13,324,7,199,8,13,0,11,7,9,13,195,200,13,11,11,13,11,204,13,209
107,11,130,200,107,276,13,11,11,59,187,21,292,9,13,8,18,26,171,11,13,11,12,130,11,0,13,9,20,14,11,130,15,86,87,11,11,130,14
13,9,8,13,12,12,271,9,30,13,13,8,12,19,251,19,19,115,19,9,138,9,228,8,7,13,0,9,7,10,13,8,30,13,8,30,13,8,10
9,18,9,9,17,7,9,18,18,8,9,9,7,300,9,100,91,8,11,18,9,18,8,9,9,9,9,0,8,15,18,9,11,9,9,18,18,9,15
32,13,10,32,20,10,33,13,13,32,32,309,10,8,33,8,10,8,10,13,33,13,7,100,13,20,7,8,0,141,13,10,12,32,145,13,13,10,9
14,39,10,14,8,10,11,11,11,38,14,161,10,9,11,9,10,8,10,214,11,70,10,10,195,14,10,15,141,0,71,10,11,38,10,11,75,10,291
11,412,13,11,20,11,9,316,287,15,11,13,11,18,9,9,12,13,11,313,9,443,13,13,200,11,13,18,13,71,0,13,140,11,13,232,306,13,85
11,20,363,11,252,193,13,9,10,143,13,54,244,9,13,17,132,176,244,13,13,13,12,242,13,130,8,9,10,10,13,0,22,105,203,10,13,378,27
10,155,22,10,22,15,30,155,306,76,10,23,15,11,30,11,9,10,15,11,12,141,27,22,11,15,30,11,12,11,140,22,0,32,22,285,10,22,11
286,11,217,283,19,93,13,11,10,289,226,48,180,9,13,19,51,19,211,38,13,11,13,217,11,86,13,9,32,38,11,105,32,0,217,10,11,105,38
48,23,327,48,65,150,33,23,23,255,19,316,219,25,33,49,210,12,279,13,33,13,12,420,13,87,8,9,145,10,13,203,22,217,0,23,13,193,27
10,247,23,10,10,11,30,247,377,9,10,13,11,18,30,8,9,10,11,101,9,233,27,23,11,11,30,18,13,11,232,10,285,10,23,0,94,10,11
11,274,13,11,20,11,9,178,149,11,11,13,11,18,9,9,12,13,11,310,9,305,13,13,204,11,13,18,13,75,306,13,10,11,13,94,0,13,89
11,20,353,11,250,193,13,9,10,143,13,44,235,9,13,17,123,174,235,13,13,13,12,232,13,130,8,9,10,10,13,378,22,105,193,10,13,0,27
14,53,27,14,20,9,7,11,11,38,14,23,13,9,7,9,13,8,13,228,7,84,11,27,209,14,10,15,9,291,85,27,11,38,27,11,89,27,0
